albums,track_number,track,writers,track_length,Year,old_kanye
The College Dropout,1,Intro (Skit),Kanye West,0:19,2004,1
The College Dropout,2,We Don't Care,West Miri Ben-Ari Ross Vannelli,3:59,2004,1
The College Dropout,3,Graduation Day,West John Stephens Ben-Ari,1:22,2004,1
The College Dropout,4,All Falls Down (featuring Syleena Johnson),West Lauryn Hill,3:43,2004,1
The College Dropout,5,I'll Fly Away,Albert E. Brumley,1:09,2004,1
The College Dropout,6,Spaceship (featuring GLC and Consequence),West Leonard Harris Dexter Mills Marvin Gaye Gwen Gordy Fuqua Sandra Greene,5:24,2004,1
The College Dropout,7,Jesus Walks,West Che Smith Ben-Ari Curtis Lundy,3:13,2004,1
The College Dropout,8,Never Let Me Down (featuring Jay-Z and J. Ivy),West Shawn Carter James Richardson Michael Bolton Bruce Kulick,5:24,2004,1
The College Dropout,9,Get Em High (featuring Talib Kweli and Common),West Talib Kweli Greene Lonnie Rashid Lynn Jr.,4:49,2004,1
The College Dropout,10,Workout Plan (Skit),West,0:46,2004,1
The College Dropout,11,The New Workout Plan,West Stephens Bosco Kante Sumeke Rainey Ben-Ari,5:22,2004,1
The College Dropout,12,Slow Jamz (featuring Twista and Jamie Foxx),West Carl Mitchell Burt Bacharach Hal David,5:16,2004,1
The College Dropout,13,Breathe in Breathe Out (featuring Ludacris),West Brian Miller,4:06,2004,1
The College Dropout,14,School Spirit (Skit 1),West,1:18,2004,1
The College Dropout,15,School Spirit,West Aretha Franklin,3:02,2004,1
The College Dropout,16,School Spirit (Skit 2),West,0:43,2004,1
The College Dropout,17,Lil Jimmy (Skit),West,0:53,2004,1
The College Dropout,18,"Two Words (featuring Mos Def, Freeway and The Boys Choir of Harlem)",West Dante Smith Leslie Pridgen Lou Wilson Ric Wilson Carlos Wilson,4:26,2004,1
The College Dropout,19,Through the Wire,West David Foster Tom Keane Cynthia Weil,3:41,2004,1
The College Dropout,20,Family Business,West,4:38,2004,1
The College Dropout,21,Last Call,West Michael Perretta Williams Ken Lewis,12:40,2004,1
Late Registration,1,Wake Up Mr. West,Michael Masser Gerry Goffin,0:41,2005,1
Late Registration,2,Heard 'Em Say (featuring Adam Levine),Kanye West Adam Levine Masser Goffin,3:23,2005,1
